"date","y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x24","x25","x26","x27","x28","x29","x30"
"2019/12/27",4962,61.72,68.16,549.5,-273.8876771,-42.6,1056.8,598.0225641,0.729118597,0.985215953,375.2212389,73.88,-1.12,93.88,23.88,315,198.88,84.9,77.1,83.9,52,69,55,0.6,10.1,12.5,7.6,565,50.9,10.9
"2020/1/3",5035,63.05,68.7,552.5,-191.8838404,-37.04,1167.35,608.5803862,0.741116751,0.985215953,397.3451327,82.975,-17.025,87.975,32.975,435,182.975,83.7,74.9,81.3,48.3,61,48,0,10.5,13.5,8.4,571,49.6,11.2
"2020/1/10",5385,59.04,64.98,557.5,-79.32038029,-29.88,1493.15,820.8621576,0.75588371,0.985215953,441.5929204,58.475,33.475,168.475,53.475,390,183.475,79.6,69.8,75.7,45.6,45,30,-1,8.5,12.9,6.5,607,44.5,12.5
"2020/1/17",5200,58.54,64.85,559.5,-4.649787771,-28.56,1310.5,458.5350897,0.795569912,0.94702383,375.2212389,15.525,-9.475,175.525,30.525,415,125.525,77.7,61.7,71.6,20.6,10,6,1.4,9.1,15.7,7,590,43.3,13.4
"2020/2/14",4330,52.05,57.32,573.5,-209.5688139,-29.72,383.3,106.2626149,0.772140632,0.982223943,65.48672566,405.85,285.85,850.85,705.85,480,575.85,59.5,45.5,53.2,13.3,5,4,16.4,22.2,33.5,22.4,522,71.6,13.8
"2020/2/21",4417,53.38,58.5,573.5,-201.1544458,-29.34,487.19,185.5302846,0.703159769,0.982223943,21.23893805,279.68,304.68,789.68,504.68,260,299.68,60.9,47,54.5,16,10,14,8.7,24,35.7,26.2,530,64.6,15.8
"2020/2/28",4280,44.76,50.52,570.5,-114.7338538,-24.08,373.8,135.0141809,0.696929239,0.977823929,-155.7522124,335.05,435.05,455.05,385.05,495,505.05,64.1,50,57.2,20.2,21,33,10.5,26.7,36,29.4,512,73.8,18.1
"2020/3/6",4185,41.28,45.27,568.5,-12.2091129,-15.78,294.75,66.99146567,0.654334421,0.919919744,-222.1238938,253.4,403.4,433.4,443.4,485,398.4,72.6,59.2,66.5,28.5,58,56,7.8,25.7,31.7,28.5,509,85,18.4
"2020/3/13",3920,31.73,33.85,560.5,-125.3457455,-23.26,71.8,32.05659141,0.773304316,0.911119716,-298.2300885,297.65,397.65,567.65,532.65,550,617.65,80,72.5,77.4,52.3,67,65,9.6,27.4,32.1,29.1,475,95.1,18.4
"2020/3/20",3605,22.63,26.98,552.5,-46.0706242,-1.12,-195.75,-9.313178445,0.782734857,0.911119716,-107.9646018,322.5,522.5,577.5,497.5,580,742.5,81,73.2,78.2,52.3,81,73,9.5,29.2,32.8,30.3,428,105,19.3
"2020/3/27",3130,21.51,24.93,543.5,-0.203332,5.94,-613.6,-252.6230013,0.765324628,0.911119716,-217.699115,281.25,681.25,11.25,-143.75,705,751.25,83.9,73.5,78.6,52.3,78,69,10.8,30.5,33.2,31,368,110.7,19
"2020/4/3",3295,28.34,34.11,527.5,41.56739738,-12.84,-420.36,329.0341973,0.702937976,0.916751734,-172.5663717,93.725,598.725,-96.275,-81.275,435,388.725,83.4,72.7,78,50.2,66,41,9.7,22.1,26.6,18.4,381,117.1,19.3
"2020/4/10",3385,22.76,31.48,502.5,176.4027922,-6.8,-276.95,455.0322088,0.67174465,0.932415784,70.79646018,210.325,710.325,155.325,175.325,410,940.325,84,72.3,77.4,51.1,76,57,3,17.2,22.8,14.4,402,123.5,20.6
"2020/4/17",3440,18.27,28.08,489.5,122.525788,-10.86,-170.1,735.0966259,0.589046065,0.932415784,-40.7079646,373.125,773.125,-51.875,-116.875,345,1313.125,87.8,74.4,79.9,51.1,74,53,-0.3,18.9,25.1,16.7,407,125.7,19.8
"2020/4/24",3275,16.94,21.44,477.5,55.29424566,-5.58,-304.95,658.9520694,0.567283279,0.932415784,-372.5663717,143.175,818.175,-106.825,-156.825,360,848.175,87,73.8,79.2,51.1,74,53,1,19.2,25.9,17.8,380,125.3,18.8
"2020/4/30",3455,24.7,29.2,467.5,90.94093995,-15.2,-80.15,614.692209,0.665215814,0.932415784,-284.0707965,114.475,664.475,-45.525,-10.525,335,524.475,87.5,73.8,79.2,51.1,67,48,1,17.4,23.7,16.9,410,117.4,18.8
"2020/5/8",3505,24.74,30.97,467.5,122.3630426,-13.4,-28.35,340.6266735,0.610083424,0.918511739,-129.2035398,165.85,665.85,210.85,365.85,280,680.85,89.3,72.8,78.5,48.8,73,63,1.2,14,23.1,16,408,125.9,19
